code,year,total,GDP,perGDP,population,perCapita
330400,2019,105.972072,6739.5,0.015724026,5400868,0.0000196213
620200,2019,0,362.6,0,312663,0
440700,2019,35.0399092,3773.4,0.009286031,4798090,0.00000730289
410800,2019,0,2234.8,0,3521078,0
445200,2019,65.214212,2261,0.028843084,5577814,0.0000116917
620300,2019,10.89978323,522.5,0.020860829,438026,0.0000248839
330700,2019,0,5562.5,0,7050683,0
210700,2019,30.22091,1201.7,0.025148465,2703853,0.000011177
140500,2019,50.5721267,2305.4,0.021936378,2194545,0.0000230445
140700,2019,24.7214032,2112.3,0.011703547,3379498,0.00000731511
420800,2019,27.78291675,2201,0.012622861,2596927,0.0000106984
421000,2019,0,3008.6,0,5231180,0
360200,2019,9.5326531,1192.2,0.007995851,1618979,0.00000588806
360400,2019,15.54494996,4026.6,0.003860565,4600276,0.00000337913
620900,2019,7.073134258,840.9,0.008411386,1055706,0.00000669991
653100,2019,19.04530957,1368.6,0.013915906,4496377,0.0000042357
410200,2019,19.4134819,2657.1,0.007306267,4824016,0.00000402434
650200,2019,0,1188.1,0,490348,0
653000,2019,0.007617644,217.1,0.0000350882,622222,0.0000000122426
530100,2019,23.5816634,7541.4,0.003126961,8460088,0.0000027874
540100,2019,1.339353896,747.6,0.001791538,867891,0.00000154323
451300,2019,17.3373435,901.2,0.019238064,2074611,0.00000835691
620100,2019,26.8176368,3343.5,0.008020828,4359446,0.00000615162
131000,2019,245.7908837,3565.3,0.068939748,5464087,0.000044983
511100,2019,6.19192276,2308.8,0.002681879,3160168,0.00000195937
530700,2019,6.078686521,620.1,0.009802752,1253878,0.00000484791
331100,2019,7.56835118,1830.9,0.004133678,2507396,0.00000301841
320700,2019,60.4212416,4005,0.015086452,4599360,0.0000131369
513400,2019,9.092008303,2081.4,0.004368218,4858359,0.00000187142
211000,2019,0,891.8,0,1604580,0
220400,2019,15.8237123,501,0.031584256,996903,0.0000158729
